compass_course,deviation_cc,magnetica_course,deviation_mc
0             ,-4          ,0               ,-3
10            ,-1          ,10              ,-1
20            ,2           ,20              ,2
30            ,5           ,30              ,4
40            ,7           ,40              ,6
50            ,9           ,50              ,7
60            ,10          ,60              ,9
70            ,11          ,70              ,10
80            ,12          ,80              ,11
90            ,11          ,90              ,11
100           ,10          ,100             ,11
110           ,9           ,110             ,10
120           ,8           ,120             ,9
130           ,8           ,130             ,8
140           ,6           ,140             ,7
150           ,5           ,150             ,6
160           ,4           ,160             ,4
170           ,4           ,170             ,4
180           ,6           ,180             ,5
190           ,7           ,190             ,6
200           ,7           ,200             ,7
210           ,6           ,210             ,7
220           ,5           ,220             ,6
230           ,3           ,230             ,4
240           ,2           ,240             ,2
250           ,0           ,250             ,0
260           ,-3          ,260             ,-4
270           ,-5          ,270             ,-6
280           ,-7          ,280             ,-9
290           ,-9          ,290             ,-10
300           ,-10         ,300             ,-11
310           ,-11         ,310             ,-11
320           ,-11         ,320             ,-10
330           ,-10         ,330             ,-9
340           ,-9          ,340             ,-8
350           ,-7          ,350             ,-6
360           ,-4          ,360             ,-3